Division,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Barishal,Amtali,2014-01-01,53.94,148.17,15.65,24.72,31.74,6.57,1.93,8.14,64.35,2.74,7.4,0.89,146,Unhealthy for Sensitive Groups,2.5,65.2,0.08,0.55,5.87,752.6
Barishal,Amtali,2014-02-01,60.24,111.11,10.94,23.59,18.16,7.44,0.98,15.01,61.22,1.66,4.53,1.49,153,Unhealthy,3.8,65.5,0.08,0.78,6.08,748.8
Barishal,Amtali,2014-03-01,68.63,117.66,19.42,13.29,31.56,14.84,1.51,6.65,51.34,2.09,5.36,1.81,158,Unhealthy,7.9,60.1,0.05,1.9,5.87,745.2
Barishal,Amtali,2014-04-01,31.09,98.92,1.0,18.13,14.88,9.94,1.34,7.44,39.58,2.12,2.76,0.35,91,Moderate,7.0,71.1,0.145,-0.59,5.96,748.1
Barishal,Amtali,2014-05-01,10.96,71.37,5.8,7.89,16.07,9.67,0.92,8.0,38.25,0.53,1.15,1.15,46,Good,6.7,68.0,0.089,2.81,6.0,750.8
Barishal,Amtali,2014-06-01,30.86,44.26,3.95,12.63,11.43,6.35,0.5,5.5,21.31,0.38,2.54,0.47,90,Moderate,7.0,87.6,0.009,1.52,6.17,749.0
Barishal,Amtali,2014-07-01,13.55,30.36,1.18,14.38,7.86,5.23,0.44,4.35,22.34,0.88,2.65,0.24,54,Moderate,11.4,96.9,0.09,2.14,5.93,746.1
Barishal,Amtali,2014-08-01,5.0,48.07,9.18,11.21,6.8,5.41,0.45,5.91,10.79,0.54,1.02,0.68,21,Good,5.6,89.3,0.101,1.08,5.93,750.6
Barishal,Amtali,2014-09-01,16.8,37.32,11.16,13.79,12.91,6.15,0.16,2.24,34.69,0.27,1.11,0.29,61,Moderate,8.5,93.5,0.067,2.91,5.96,750.5
Barishal,Amtali,2014-10-01,46.28,21.92,15.14,17.77,11.52,9.2,0.38,3.03,43.22,1.03,2.85,0.74,128,Unhealthy for Sensitive Groups,6.7,69.3,0.101,0.34,5.86,748.1
Barishal,Amtali,2014-11-01,26.59,50.41,7.31,32.62,23.36,10.38,0.62,13.1,46.49,0.67,3.81,1.7,81,Moderate,3.2,73.5,0.13,2.21,5.84,750.5
Barishal,Amtali,2014-12-01,30.32,183.45,20.05,39.25,20.19,11.74,1.75,12.4,52.38,2.59,6.01,2.31,89,Moderate,5.0,72.9,0.09,3.45,5.8,750.0
Barishal,Amtali,2015-01-01,71.69,155.86,21.45,28.07,52.37,6.05,1.16,14.78,61.72,1.46,4.6,1.9,159,Unhealthy,3.5,69.5,0.133,3.16,6.3,757.6
Barishal,Amtali,2015-02-01,84.93,164.52,15.57,42.16,37.15,5.95,0.66,13.89,63.99,1.76,7.06,1.48,166,Unhealthy,3.3,58.6,0.084,3.02,6.3,762.5
Barishal,Amtali,2015-03-01,28.09,91.55,17.74,25.14,19.79,11.74,1.4,6.06,42.99,1.46,2.32,1.14,85,Moderate,6.0,49.2,0.138,3.54,6.4,758.6
Barishal,Amtali,2015-04-01,56.78,126.07,6.61,18.96,8.93,8.76,1.21,14.32,37.55,1.56,3.62,1.09,152,Unhealthy,6.3,61.6,0.075,1.62,6.3,761.0
Barishal,Amtali,2015-05-01,37.11,64.6,8.66,24.07,9.38,3.08,0.3,6.04,36.91,0.57,5.09,0.93,105,Unhealthy for Sensitive Groups,9.4,82.1,0.06,3.38,6.23,760.8
Barishal,Amtali,2015-06-01,17.79,54.82,12.21,12.47,9.67,2.32,0.61,3.1,12.8,0.61,0.8,0.95,63,Moderate,17.7,80.4,0.11,1.59,6.12,760.1
Barishal,Amtali,2015-07-01,22.81,48.32,8.62,7.08,10.45,2.8,0.55,4.99,31.55,0.3,2.92,0.31,74,Moderate,12.0,88.5,0.111,2.64,6.13,759.2
Barishal,Amtali,2015-08-01,12.4,50.97,2.96,11.27,9.09,3.24,0.37,6.36,31.43,0.05,1.93,0.16,52,Moderate,6.2,87.0,0.093,0.04,6.21,758.8
Barishal,Amtali,2015-09-01,16.23,61.07,2.6,6.48,4.51,2.66,0.26,7.84,33.69,0.37,2.42,0.58,60,Moderate,5.9,82.4,0.113,1.82,6.19,758.6
Barishal,Amtali,2015-10-01,52.09,56.67,14.49,12.85,19.72,10.83,0.46,10.71,35.3,0.05,1.89,0.51,142,Unhealthy for Sensitive Groups,2.9,80.5,0.102,1.18,6.23,759.0
Barishal,Amtali,2015-11-01,70.07,100.46,8.89,26.95,35.94,6.92,0.62,16.5,48.49,0.59,5.05,0.92,159,Unhealthy,5.7,73.8,0.149,0.82,6.15,758.4
Barishal,Amtali,2015-12-01,46.05,106.54,9.61,22.05,18.58,10.89,1.44,14.29,71.78,1.22,4.56,2.05,127,Unhealthy for Sensitive Groups,2.8,71.4,0.099,1.62,6.18,761.1
Barishal,Amtali,2016-01-01,32.33,73.45,21.18,38.27,14.54,10.39,1.89,22.12,58.14,0.6,3.12,2.36,94,Moderate,6.6,64.3,0.103,2.01,6.45,771.1
Barishal,Amtali,2016-02-01,39.41,103.24,18.63,28.27,24.58,13.91,1.67,13.08,38.06,3.17,7.01,0.75,111,Unhealthy for Sensitive Groups,3.5,66.6,0.117,1.19,6.81,765.8
Barishal,Amtali,2016-03-01,79.3,57.67,17.89,20.47,10.09,9.3,0.37,10.0,31.73,2.41,4.54,1.79,163,Unhealthy,5.4,49.8,0.106,2.66,6.66,764.1
Barishal,Amtali,2016-04-01,47.31,64.07,11.95,25.35,28.39,7.65,0.99,4.56,49.83,1.37,1.57,0.41,130,Unhealthy for Sensitive Groups,5.5,63.4,0.102,1.57,6.47,763.4
Barishal,Amtali,2016-05-01,33.38,63.48,9.47,8.22,22.94,4.9,0.97,10.18,49.79,1.87,3.65,0.79,96,Moderate,9.8,72.4,0.102,2.22,6.56,768.1
Barishal,Amtali,2016-06-01,14.28,59.33,6.76,5.72,13.92,3.04,0.34,3.39,17.71,0.51,3.16,0.31,56,Moderate,8.6,88.4,0.122,2.43,6.61,767.6
Barishal,Amtali,2016-07-01,23.27,18.87,14.66,13.54,5.65,2.22,0.68,4.89,20.57,1.21,0.77,0.05,74,Moderate,5.8,87.9,0.127,3.07,6.66,770.5
Barishal,Amtali,2016-08-01,5.0,49.86,6.46,15.65,19.96,2.83,0.47,1.19,18.23,0.71,1.32,0.18,21,Good,14.1,93.8,0.094,1.3,6.81,766.1
Barishal,Amtali,2016-09-01,21.9,19.21,9.71,4.6,18.25,2.62,0.66,5.26,22.79,0.97,3.14,0.14,72,Moderate,13.9,83.7,0.105,2.29,6.53,769.4
Barishal,Amtali,2016-10-01,23.37,81.09,5.49,11.45,17.91,6.71,0.85,3.38,23.41,0.66,4.24,0.79,75,Moderate,9.3,84.0,0.133,2.42,6.51,766.3
Barishal,Amtali,2016-11-01,73.63,49.75,9.12,19.92,27.13,14.46,0.6,7.34,35.3,2.26,2.19,2.07,160,Unhealthy,7.3,67.7,0.161,0.73,6.75,771.5
Barishal,Amtali,2016-12-01,52.67,104.14,16.94,41.96,29.5,16.47,0.88,9.0,40.49,2.72,7.06,0.83,143,Unhealthy for Sensitive Groups,4.9,74.6,0.093,1.99,6.66,769.0
Barishal,Amtali,2017-01-01,52.5,180.29,27.28,33.01,41.14,19.26,0.59,17.79,59.98,2.98,2.95,2.06,143,Unhealthy for Sensitive Groups,3.8,66.1,0.097,2.88,6.9,777.7
Barishal,Amtali,2017-02-01,47.5,173.09,7.53,45.9,50.72,19.25,0.64,11.53,77.41,2.05,5.45,2.21,131,Unhealthy for Sensitive Groups,3.1,48.0,0.121,2.83,6.75,774.4
Barishal,Amtali,2017-03-01,29.78,145.79,15.59,16.12,25.33,17.48,1.07,15.23,72.62,2.34,6.59,1.47,88,Moderate,3.1,45.2,0.121,1.0,6.99,778.7
Barishal,Amtali,2017-04-01,42.59,93.61,8.05,21.57,31.1,7.78,0.82,15.14,38.66,0.05,1.72,1.06,118,Unhealthy for Sensitive Groups,5.5,63.8,0.176,2.53,6.86,776.6
Barishal,Amtali,2017-05-01,28.7,67.21,15.44,17.34,27.2,7.9,0.36,11.58,32.21,1.16,0.83,0.51,86,Moderate,5.0,77.0,0.115,2.83,6.81,777.2
Barishal,Amtali,2017-06-01,18.92,45.17,1.49,17.78,15.94,1.27,0.57,4.49,13.73,0.29,2.05,1.01,65,Moderate,16.6,94.6,0.064,1.3,7.07,778.6
Barishal,Amtali,2017-07-01,29.5,18.5,3.55,6.83,8.43,1.0,0.31,7.19,20.24,0.95,1.62,0.9,88,Moderate,16.1,95.7,0.103,2.17,6.99,782.4
Barishal,Amtali,2017-08-01,20.4,38.12,9.56,17.02,8.3,4.2,0.57,6.03,31.34,0.65,0.67,0.72,68,Moderate,9.0,88.7,0.082,1.53,6.92,779.4
Barishal,Amtali,2017-09-01,30.99,51.84,6.88,9.0,8.1,3.09,0.88,6.23,28.43,0.76,2.72,0.73,91,Moderate,10.4,84.9,0.066,0.88,6.83,774.5
Barishal,Amtali,2017-10-01,44.19,68.7,4.14,22.2,18.84,8.02,1.12,7.17,41.62,0.13,2.11,0.72,122,Unhealthy for Sensitive Groups,4.0,87.9,0.058,2.37,6.88,773.8
Barishal,Amtali,2017-11-01,40.18,66.92,6.54,22.56,32.13,13.1,1.47,15.59,66.27,1.09,6.27,1.61,113,Unhealthy for Sensitive Groups,2.5,66.5,0.049,0.21,6.81,778.6
Barishal,Amtali,2017-12-01,39.87,184.58,27.84,42.58,23.84,17.08,1.16,17.01,72.01,2.57,4.29,2.01,112,Unhealthy for Sensitive Groups,3.3,55.0,0.077,1.55,6.95,776.4
Barishal,Amtali,2018-01-01,75.49,167.01,30.36,14.26,28.09,17.46,1.26,17.54,51.94,2.78,6.5,0.34,161,Unhealthy,7.0,52.3,0.136,1.74,7.15,781.9
Barishal,Amtali,2018-02-01,39.61,119.98,10.29,22.94,30.45,16.46,2.01,14.52,56.82,1.78,2.75,0.35,111,Unhealthy for Sensitive Groups,4.1,57.6,0.091,3.1,7.07,785.6
Barishal,Amtali,2018-03-01,62.1,55.3,9.44,12.44,24.39,12.05,0.66,13.38,47.99,2.2,2.56,1.15,154,Unhealthy,4.9,59.2,0.129,1.47,7.13,783.0
Barishal,Amtali,2018-04-01,24.41,77.28,5.09,32.1,28.82,9.75,0.53,4.06,55.85,1.89,3.61,1.52,77,Moderate,7.5,69.0,0.085,2.07,7.29,787.0
Barishal,Amtali,2018-05-01,35.2,49.76,7.0,14.27,19.63,7.92,0.97,5.71,34.41,0.55,3.92,0.93,100,Moderate,14.6,67.8,0.074,0.87,7.2,786.0
Barishal,Amtali,2018-06-01,28.62,47.93,2.64,14.6,18.18,4.56,0.43,3.94,25.87,0.87,1.35,0.7,86,Moderate,15.0,88.9,0.061,2.08,7.17,784.1
Barishal,Amtali,2018-07-01,24.62,46.75,8.18,4.66,18.16,4.61,0.41,2.7,20.28,0.65,2.35,0.52,77,Moderate,10.8,98.6,0.114,2.34,7.21,784.1
Barishal,Amtali,2018-08-01,24.01,33.92,10.41,9.89,23.09,6.04,0.23,5.93,16.23,0.73,1.65,0.86,76,Moderate,9.8,89.5,0.091,1.49,7.26,787.9
