State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Acre,Cruzeiro do Sul,2014-01-01,7.96,18.52,2.02,11.08,23.28,1.47,0.37,2.76,25.89,0.46,2.07,0.83,33,Good,14.2,93.6,2.038,2.32,105.93,5.0
Acre,Cruzeiro do Sul,2014-02-01,8.53,21.09,6.63,9.98,17.14,4.71,0.27,4.45,35.78,1.04,1.51,0.3,36,Good,10.7,87.8,1.99,1.38,95.17,5.0
Acre,Cruzeiro do Sul,2014-03-01,8.85,29.64,4.83,14.24,10.12,4.82,0.4,2.39,40.34,0.83,1.38,0.71,37,Good,12.4,100.0,2.007,1.61,91.42,5.0
Acre,Cruzeiro do Sul,2014-04-01,8.75,25.77,7.86,15.02,12.19,3.09,0.81,1.96,24.78,1.12,2.57,0.72,36,Good,8.4,91.4,1.998,2.11,91.47,5.0
Acre,Cruzeiro do Sul,2014-05-01,12.96,21.4,5.01,6.62,5.34,1.92,0.57,3.88,27.05,0.36,1.32,0.64,53,Moderate,4.7,90.5,2.069,1.73,91.69,5.0
Acre,Cruzeiro do Sul,2014-06-01,12.43,14.57,8.43,10.56,22.88,4.36,0.46,3.58,44.53,0.94,0.78,0.13,52,Moderate,10.7,94.3,2.103,2.03,100.58,5.0
Acre,Cruzeiro do Sul,2014-07-01,13.52,32.65,6.1,8.01,21.22,5.26,0.47,3.83,23.53,0.85,3.35,0.09,54,Moderate,7.7,71.2,1.88,1.06,90.45,5.0
Acre,Cruzeiro do Sul,2014-08-01,212.89,209.77,9.03,14.83,20.11,5.09,4.83,4.48,44.76,1.23,3.78,0.88,263,Very Unhealthy,7.5,62.8,2.007,2.36,90.55,5.0
Acre,Cruzeiro do Sul,2014-09-01,153.93,190.68,8.17,10.23,11.01,2.86,1.68,5.79,50.2,0.3,1.76,0.49,204,Very Unhealthy,15.5,84.2,1.905,0.54,98.22,5.0
Acre,Cruzeiro do Sul,2014-10-01,59.64,195.93,4.91,14.22,12.56,5.54,1.12,2.13,38.87,0.33,2.02,0.7,153,Unhealthy,15.2,94.0,2.013,0.74,92.92,5.0
Acre,Cruzeiro do Sul,2014-11-01,15.29,24.98,6.32,6.74,14.71,2.67,0.41,3.01,45.17,0.42,1.25,0.51,58,Moderate,12.9,88.6,1.898,1.76,96.54,5.0
Acre,Cruzeiro do Sul,2014-12-01,8.91,23.32,3.32,9.06,13.7,3.59,0.61,3.53,38.54,0.46,0.61,1.05,37,Good,9.7,100.0,1.972,1.38,99.58,5.0
Acre,Cruzeiro do Sul,2015-01-01,6.13,21.99,8.87,12.36,14.88,3.1,0.53,2.97,21.27,0.32,2.65,0.36,26,Good,5.8,87.6,1.996,1.8,84.15,5.0
