Province,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Anhui,Anqing,2014-01-01,89.04,177.93,9.96,35.64,62.43,11.37,2.49,22.8,30.88,4.52,6.89,3.99,117,Lightly Polluted,9.8,48.1,0.34,6.95,130.28,442.3
Anhui,Anqing,2014-02-01,103.19,196.4,28.43,43.36,24.14,35.15,1.33,30.65,48.14,1.48,8.06,0.76,135,Lightly Polluted,9.1,44.1,0.435,6.96,131.0,435.6
Anhui,Anqing,2014-03-01,64.72,90.36,17.4,39.44,35.71,15.8,1.4,21.75,44.2,2.4,5.67,1.04,87,Good,12.3,52.4,0.304,6.38,131.04,440.9
Anhui,Anqing,2014-04-01,34.56,67.82,11.23,28.95,27.72,9.05,1.31,23.14,37.3,1.76,2.53,1.3,49,Excellent,11.3,59.2,0.519,7.12,128.12,442.6
Anhui,Anqing,2014-05-01,30.7,123.6,8.16,19.43,9.26,11.89,1.5,19.45,42.55,3.14,4.58,2.08,44,Excellent,12.4,77.6,0.406,5.93,129.89,437.7
Anhui,Anqing,2014-06-01,41.35,46.55,9.0,24.97,32.41,9.26,0.85,17.79,15.13,1.81,3.29,1.12,58,Good,5.3,70.9,0.399,6.41,131.7,439.7
Anhui,Anqing,2014-07-01,34.11,47.85,1.26,17.86,14.98,14.62,0.46,8.64,26.38,1.25,3.23,0.37,49,Excellent,7.0,81.1,0.548,7.4,132.07,440.2
Anhui,Anqing,2014-08-01,25.08,48.41,11.16,7.1,31.22,15.2,0.83,7.39,24.7,0.62,5.55,1.11,36,Excellent,6.1,77.6,0.367,6.91,131.12,436.9
Anhui,Anqing,2014-09-01,49.65,114.63,8.39,30.21,23.0,9.33,1.6,12.47,23.19,2.13,6.78,1.0,68,Good,9.4,69.4,0.423,6.89,130.18,440.4
Anhui,Anqing,2014-10-01,55.97,133.6,18.59,19.57,40.06,19.58,1.38,14.13,40.74,3.59,4.77,2.79,76,Good,3.6,52.3,0.313,6.5,133.58,441.2
Anhui,Anqing,2014-11-01,56.9,119.32,15.59,23.4,44.09,22.28,3.08,26.92,38.7,1.26,4.61,1.4,77,Good,7.7,59.0,0.421,7.38,131.64,441.0
Anhui,Anqing,2014-12-01,102.29,279.93,25.44,30.37,59.62,12.67,1.23,13.93,29.16,5.96,16.41,2.04,134,Lightly Polluted,3.9,48.8,0.253,5.33,132.14,437.4
