Region,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Addis Ababa (City),Addis Ababa,2014-01-01,103.43,151.49,37.96,74.1,99.81,27.06,4.51,21.84,93.72,5.74,7.0,2.68,176.0,Unhealthy,4.1,39.6,0.004,4.7,8.12,6483.8
Addis Ababa (City),Addis Ababa,2014-02-01,103.57,229.21,46.18,62.3,96.08,23.31,6.06,36.68,91.8,5.28,25.42,3.24,176.0,Unhealthy,6.4,42.7,0.019,4.38,8.12,6496.3
Addis Ababa (City),Addis Ababa,2014-03-01,168.41,205.52,73.57,70.87,,26.57,4.56,20.14,65.58,5.49,14.82,9.66,219.0,Very Unhealthy,12.0,55.3,0.001,3.59,7.81,6497.4
Addis Ababa (City),Addis Ababa,2014-04-01,100.22,107.41,80.74,113.33,69.38,20.2,4.64,33.64,91.46,,,8.32,174.0,Unhealthy,5.1,57.4,0.045,4.99,8.08,6486.7
Addis Ababa (City),Addis Ababa,2014-05-01,63.36,84.7,73.61,98.34,85.43,,4.73,19.47,42.73,5.55,7.94,5.97,155.0,Unhealthy,10.4,55.8,0.0,4.09,7.94,6495.1
Addis Ababa (City),Addis Ababa,2014-06-01,46.78,63.49,49.9,49.94,63.04,11.59,2.05,19.87,62.74,5.01,16.21,3.49,129.0,Unhealthy for Sensitive Groups,12.1,68.3,0.0,4.27,7.87,6513.3
Addis Ababa (City),Addis Ababa,2014-07-01,43.65,50.86,29.07,49.14,58.14,11.87,3.0,16.06,47.54,0.87,6.28,2.17,121.0,Unhealthy for Sensitive Groups,10.9,88.8,0.0,5.34,8.15,6519.7
Addis Ababa (City),Addis Ababa,2014-08-01,56.16,45.79,21.52,50.73,62.85,4.21,1.26,12.58,38.62,3.82,8.04,4.06,151.0,Unhealthy,9.6,86.5,0.0,5.67,7.95,6500.2
Addis Ababa (City),Addis Ababa,2014-09-01,61.65,78.16,41.25,36.8,37.72,11.0,1.36,16.62,42.15,0.97,2.4,4.5,154.0,Unhealthy,6.6,77.2,0.0,5.7,7.73,6501.0
Addis Ababa (City),Addis Ababa,2014-10-01,115.55,133.09,64.23,68.72,58.08,22.81,4.52,30.46,85.47,3.95,13.7,8.73,182.0,Unhealthy,6.4,63.3,0.0,2.6,8.1,6509.3
