State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Tehran,Tehran City,2014-01-01,6.85,21.13,3.37,7.16,10.53,6.12,0.28,2.34,38.0,1.07,2.41,2.54,39.0,Good,12.88,47.47,0.0051,0.77,7.8,343.71
Tehran,Tehran City,2014-01-01,14.88,8.24,2.46,7.41,9.87,2.63,0.24,2.45,60.7,0.62,2.35,0.78,84.0,Satisfactory,25.59,71.72,0.0055,0.69,7.42,3734.49
Tehran,Tehran City,2014-01-01,5.57,18.62,2.57,5.44,8.01,4.07,0.3,6.63,60.82,0.8,1.97,1.38,27.0,Good,26.06,57.64,0.0042,1.17,12.21,371.91
Tehran,Tehran City,2014-01-01,4.98,19.61,2.52,7.41,9.93,4.67,0.21,2.05,45.29,1.39,5.07,1.44,35.0,Good,9.97,50.29,0.0025,1.16,4.09,5.0
Tehran,Tehran City,2014-01-01,4.94,9.7,4.26,12.23,16.49,0.46,0.26,2.91,46.39,1.12,3.01,2.51,41.0,Good,8.34,45.25,0.0041,1.33,5.44,5.0
Tehran,Tehran City,2014-01-01,7.74,11.65,3.29,9.58,12.87,6.91,0.31,2.14,55.74,0.71,2.54,1.23,43.0,Good,8.76,44.44,0.0025,2.04,6.83,168.0
Tehran,Tehran City,2014-01-01,5.76,5.56,4.53,10.46,14.99,7.27,0.21,1.87,56.28,1.03,2.81,2.32,42.0,Good,23.22,41.28,0.0075,0.98,6.59,274.88
Tehran,Tehran City,2014-01-01,6.54,20.75,5.06,13.37,18.43,5.18,0.18,1.44,48.34,0.71,1.73,1.79,18.0,Good,13.67,21.06,0.004,1.5,4.88,98.29
Tehran,Tehran City,2014-01-01,9.91,9.23,4.75,8.27,13.02,5.33,0.26,1.09,65.82,0.85,3.24,2.54,31.0,Good,17.21,49.35,0.0057,1.06,6.38,286.49
Tehran,Tehran City,2014-01-01,9.3,20.42,5.11,13.93,19.03,3.82,0.51,1.29,28.95,1.14,2.33,1.5,27.0,Good,11.25,42.79,0.0076,0.52,5.58,278.04
