State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Gauteng,Johannesburg,2014-01-01,26.6,30.9,16.87,29.76,46.63,2.85,0.72,2.56,35.31,1.42,4.89,4.1,98,Satisfactory,11.85,75.5,0.0027,0.22,12.48,3290.59
Gauteng,Pretoria,2014-01-01,33.07,30.88,11.49,21.62,33.11,5.89,0.67,3.65,39.83,0.64,2.3,1.65,92,Satisfactory,12.85,57.89,0.0032,-0.59,6.93,4138.01
Gauteng,Centurion,2014-01-01,17.11,41.42,3.9,11.15,15.05,11.8,0.44,2.99,28.48,1.34,2.75,3.48,84,Satisfactory,18.88,31.92,0.0033,1.38,6.22,2.0
Gauteng,Soweto,2014-01-01,21.87,27.14,3.65,8.27,11.92,6.43,0.54,0.57,35.55,0.95,2.96,1.44,82,Satisfactory,10.6,52.81,0.0086,1.68,10.28,102.42
Gauteng,Krugersdorp,2014-01-01,17.92,27.73,6.13,11.54,17.67,6.43,0.56,4.18,42.11,1.04,3.25,2.82,79,Satisfactory,16.13,84.6,0.0077,0.8,4.36,148.69
Gauteng,Boksburg,2014-01-01,16.65,27.45,4.09,10.61,14.7,7.21,0.55,4.75,33.62,1.0,2.86,2.35,54,Satisfactory,11.5,91.1,0.0052,0.35,2.9,245.31
Gauteng,Benoni,2014-01-01,18.39,25.61,4.31,13.72,18.03,4.9,0.59,4.77,61.04,0.82,3.21,1.04,57,Satisfactory,7.94,68.6,0.0023,1.16,7.96,83.83
Gauteng,Germiston,2014-01-01,15.28,27.37,3.04,8.85,11.89,0.98,0.51,4.12,30.73,1.19,3.07,2.57,62,Satisfactory,18.34,81.1,0.0049,1.27,8.48,119.59
Gauteng,Vereeniging,2014-01-01,18.42,30.79,5.09,11.37,16.46,5.47,0.32,4.62,21.82,0.8,2.82,1.08,89,Satisfactory,10.77,95.03,0.0042,1.07,6.83,124.91
Gauteng,Vanderbijlpark,2014-01-01,23.36,66.57,14.36,31.85,46.21,2.68,0.28,23.61,68.85,1.14,4.47,1.88,52,Satisfactory,13.86,78.12,0.005,1.36,21.84,661.99
