State,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Seoul Capital Area,Seoul,2014-01-01,45.56,64.71,47.18,80.25,127.43,3.49,0.78,2.53,37.24,1.02,2.11,1.43,103,Moderate,3.36,24.18,0.0012,1.68,18.91,17782.6
Seoul Capital Area,Incheon,2014-01-01,36.32,75.99,26.42,46.41,72.83,6.02,1.29,3.11,38.15,1.23,4.19,2.55,141,Moderate,12.82,53.2,0.0017,1.74,22.18,14061.02
Seoul Capital Area,Suwon,2014-01-01,68.89,87.27,11.63,32.8,44.43,2.54,0.99,7.11,34.52,1.21,4.64,1.78,192,Poor,10.54,42.6,0.0009,1.04,25.35,12442.54
Seoul Capital Area,Seongnam,2014-01-01,39.94,43.12,8.02,26.53,34.55,8.22,0.8,3.03,31.25,1.63,4.68,2.68,149,Moderate,6.08,54.84,0.0013,1.13,6.67,360.39
Seoul Capital Area,Goyang,2014-01-01,21.7,41.41,22.85,45.41,68.26,5.5,0.6,4.07,37.03,0.94,2.59,1.96,69,Satisfactory,11.55,60.08,0.0007,1.5,13.64,984.06
Seoul Capital Area,Yongin,2014-01-01,17.18,51.63,31.39,54.24,85.62,4.59,0.82,2.41,22.47,1.32,5.23,3.64,61,Satisfactory,11.97,37.87,0.0009,1.65,15.19,870.82
Seoul Capital Area,Bucheon,2014-01-01,33.94,55.23,11.24,27.59,38.83,8.03,0.5,3.21,24.47,1.39,3.72,1.75,73,Satisfactory,5.15,51.99,0.0009,2.22,11.99,926.55
Seoul Capital Area,Ansan,2014-01-01,22.35,42.23,12.44,24.79,37.23,5.29,0.86,3.33,28.49,1.7,4.85,3.78,59,Satisfactory,10.66,35.59,0.0014,2.0,13.42,1257.15
Seoul Capital Area,Namyangju,2014-01-01,32.43,47.68,18.21,42.75,60.96,6.33,0.59,4.16,38.71,0.92,2.87,2.03,66,Satisfactory,6.54,47.76,0.0003,1.73,12.8,507.08
Seoul Capital Area,Hwaseong,2014-01-01,29.93,67.27,13.99,26.31,40.3,8.11,0.61,5.66,29.5,0.91,2.99,1.57,52,Satisfactory,9.73,41.7,0.0007,1.45,10.57,1095.49
Seoul Capital Area,Anyang,2014-01-01,32.28,53.64,14.12,28.86,42.99,7.82,0.65,3.33,20.98,1.25,4.29,1.43,88,Satisfactory,10.42,49.18,0.0001,1.13,10.5,1051.29
Seoul Capital Area,Pyeongtaek,2014-01-01,41.57,65.69,14.27,31.64,45.92,6.5,0.8,4.79,30.42,0.53,1.65,0.94,143,Moderate,1.79,53.67,0.0011,1.52,6.69,1004.42
Seoul Capital Area,Uijeongbu,2014-01-01,41.59,52.93,10.07,30.08,40.16,6.06,0.68,0.62,28.52,1.88,6.92,3.17,115,Moderate,10.43,38.81,0.0005,1.37,7.23,1417.64
Seoul Capital Area,Siheung,2014-01-01,32.47,79.37,10.83,24.12,34.95,6.4,0.79,4.53,33.68,0.69,2.1,1.56,53,Satisfactory,10.52,38.2,0.0011,1.35,6.45,766.98
Seoul Capital Area,Paju,2014-01-01,30.22,35.63,16.18,29.25,45.43,5.08,0.7,4.04,26.96,0.92,1.85,1.73,55,Satisfactory,9.32,40.65,0.0017,1.15,7.54,1266.83
Seoul Capital Area,Gimpo,2014-01-01,20.14,58.05,24.53,45.49,70.02,6.94,0.72,3.32,36.32,1.34,4.0,2.57,71,Satisfactory,5.84,44.34,0.0012,1.89,8.96,918.71
Seoul Capital Area,Gwangmyeong,2014-01-01,41.82,40.84,23.77,44.18,67.96,8.62,0.87,4.39,13.25,1.79,5.26,3.46,112,Moderate,9.02,60.69,0.0013,0.9,12.32,1223.4
Seoul Capital Area,Gwangju,2014-01-01,78.91,64.99,9.57,25.53,35.1,3.26,1.44,4.43,42.24,0.45,1.21,0.63,179,Poor,7.42,36.67,0.0008,1.89,17.94,19866.29
Seoul Capital Area,Gunpo,2014-01-01,29.76,36.72,6.22,17.35,23.57,5.01,0.48,6.13,26.8,1.35,2.75,2.6,89,Satisfactory,7.76,63.76,0.0007,1.13,11.56,532.34
Seoul Capital Area,Osan,2014-01-01,45.43,49.5,24.13,45.55,69.68,5.93,0.46,3.76,28.61,0.87,2.82,1.83,127,Moderate,7.11,26.68,0.0013,1.61,9.42,398.3
Seoul Capital Area,Icheon,2014-01-01,32.27,51.6,23.59,49.19,72.78,4.42,0.77,4.03,24.46,1.39,3.38,1.87,72,Satisfactory,8.32,41.35,0.0008,2.39,6.6,1305.11
Seoul Capital Area,Yangju,2014-01-01,28.33,56.16,20.35,50.29,70.64,4.66,0.79,2.75,31.37,1.72,6.36,2.71,73,Satisfactory,7.43,45.14,0.0005,1.9,15.11,190.18
Seoul Capital Area,Guri,2014-01-01,24.01,36.9,17.14,34.61,51.76,4.31,0.63,4.48,35.84,1.15,4.11,2.32,96,Satisfactory,8.12,48.82,0.0018,1.84,12.68,453.39
Seoul Capital Area,Hanam,2014-01-01,35.54,27.06,15.05,32.14,47.19,6.11,0.68,6.98,34.99,1.3,4.68,2.99,107,Moderate,9.08,60.06,0.0009,1.33,9.91,1072.21
Busan-Ulsan-Gyeongnam,Busan,2014-01-01,36.88,43.98,19.35,34.17,53.52,2.72,0.88,2.07,29.37,0.9,2.59,2.07,124,Moderate,11.16,34.45,0.0007,1.24,23.06,19896.17
Busan-Ulsan-Gyeongnam,Ulsan,2014-01-01,55.73,123.79,37.24,74.21,111.45,3.66,1.15,12.0,46.7,1.66,3.76,4.44,193,Poor,13.51,63.77,0.0006,1.23,14.36,9902.73
Busan-Ulsan-Gyeongnam,Changwon,2014-01-01,61.53,78.35,19.06,55.5,74.56,5.24,0.73,19.81,24.88,0.93,3.1,0.94,158,Poor,6.92,47.53,0.0023,0.75,21.98,2844.07
Busan-Ulsan-Gyeongnam,Gimhae,2014-01-01,42.39,49.62,11.11,35.65,46.76,8.4,0.87,5.28,38.84,1.09,2.42,1.67,105,Moderate,6.69,65.48,0.0002,1.87,11.49,933.4
